user,timestamp,comx,comy,comz,headx,heady,headz,neckx,necky,neckz,leftshoulderx,leftshouldery,leftshoulderz,leftelbowx,leftelbowy,leftelbowz,lefthandx,lefthandy,lefthandz,rightshoulderx,rightshouldery,rightshoulderz,rightelbowx,rightelbowy,rightelbowz,righthandx,righthandy,righthandz,torsox,torsoy,torsoz,lefthipx,lefthipy,lefthipz,leftkneex,leftkneey,leftkneez,leftfootx,leftfooty,leftfootz,righthipx,righthipy,righthipz,rightkneex,rightkneey,rightkneez,rightfootx,rightfooty,rightfootz
1,10809,-168.30266,-161.3429,1618.801,-150.1297,224.63998,1519.8007,-170.90582,13.511337,1584.3633,-292.18927,8.921524,1570.2306,-342.46213,-200.84439,1586.3903,-287.20874,-478.12564,1412.8418,-49.62237,18.10115,1598.496,-22.550564,-190.2532,1670.8948,-13.657818,-470.1398,1526.3313,-168.3018,-161.34503,1618.8035,-240.38219,-339.02774,1644.5409,-254.6316,-626.0783,1690.231,-230.74992,-927.22705,1772.6035,-91.0134,-333.37506,1661.9464,-96.0685,-672.84656,1669.2065,-71.75835,-977.9856,1782.8651
1,10851,-168.23546,-161.05728,1618.9102,-152.7185,224.57785,1520.5549,-170.99655,13.554382,1584.381,-291.72067,9.00705,1571.0378,-343.83566,-201.85855,1584.9529,-278.349,-478.36197,1415.0894,-50.27244,18.101715,1597.7241,-24.301207,-190.35965,1670.3468,-10.310706,-459.2634,1534.5493,-168.23572,-161.0584,1618.9098,-239.54083,-338.46103,1645.2524,-252.59396,-674.0168,1698.674,-227.79163,-988.40027,1784.969,-91.40894,-332.88132,1661.6248,-99.329704,-672.77673,1667.1302,-76.87359,-978.0486,1782.0381
1,10893,-168.29626,-159.75565,1618.7244,-152.22276,226.17122,1520.7288,-171.41322,15.206741,1584.6715,-291.5757,10.474869,1571.3585,-341.44177,-201.7048,1583.4081,-271.63788,-478.99728,1420.3788,-51.250713,19.938614,1597.9845,-25.701206,-189.77367,1670.52,-10.264898,-462.22418,1537.0566,-168.29602,-159.76074,1618.7251,-237.6407,-337.5817,1644.7506,-248.96208,-629.87006,1690.5817,-226.85092,-935.2864,1780.2767,-92.71694,-331.87476,1660.8068,-101.87636,-673.1704,1666.5856,-80.57363,-979.51196,1782.7937
1,10931,-168.84067,-157.80539,1619.5365,-153.40039,227.87932,1521.6161,-171.67404,17.362488,1585.5983,-291.22858,12.906494,1572.5857,-339.0967,-200.72891,1582.5052,-265.39734,-477.81107,1428.1365,-52.11951,21.818481,1598.6108,-26.345343,-189.10826,1670.6826,-8.756264,-461.64813,1541.3739,-168.83853,-157.81303,1619.5332,-236.23996,-335.60638,1645.8234,-249.8839,-628.2422,1691.6361,-229.94505,-936.4193,1781.4991,-95.766075,-330.37073,1661.1129,-102.4784,-655.8757,1667.259,-86.27335,-916.4148,1765.1133
1,10973,-167.78094,-156.96178,1619.7876,-151.39809,228.8394,1521.4927,-170.12906,18.190384,1586.1757,-289.6918,14.31752,1574.3313,-337.31107,-199.7891,1582.3198,-258.51373,-479.06628,1434.1268,-50.566307,22.063248,1598.02,-26.556335,-190.1156,1670.4125,-10.480734,-471.26263,1543.2935,-167.78508,-156.9651,1619.7866,-234.9095,-334.3708,1646.5157,-251.93677,-673.12463,1697.786,-233.91562,-989.20996,1790.3082,-95.97272,-329.87036,1660.2794,-102.444725,-672.7092,1669.8904,-85.73543,-981.4359,1784.7977
1,11011,-160.99918,-152.11127,1618.9385,-151.15637,230.27286,1522.1931,-170.13306,20.30307,1587.2762,-288.1548,12.208878,1577.1442,-336.19547,-201.5924,1585.7043,-256.962,-485.96817,1453.5953,-52.11129,28.397263,1597.4083,-26.333477,-186.54553,1668.0125,-4.6076126,-467.35095,1549.373,-161.02568,-152.13023,1618.9418,-232.77394,-330.1088,1643.6659,-248.26646,-624.3212,1687.7402,-222.69806,-934.0002,1781.3833,-71.06267,-319.01828,1657.5487,-51.118134,-659.57275,1622.4028,-72.16713,-968.9863,1734.4631
1,11051,-155.8688,-148.89375,1619.7892,-150.32262,231.838,1522.0042,-167.52055,22.525589,1587.0181,-287.22867,12.9010315,1579.158,-335.30185,-203.92212,1585.741,-260.99692,-492.89212,1468.3411,-47.81244,32.150146,1594.8782,-23.11155,-180.08551,1670.5833,0.66628647,-452.54175,1559.2773,-155.88896,-148.90639,1619.786,-226.22873,-326.9289,1647.1718,-223.29562,-668.0702,1688.1075,-214.48383,-982.4155,1789.4193,-62.28601,-313.74786,1657.9362,-50.80462,-654.67456,1616.7175,-70.29779,-964.0242,1731.0747
1,11088,-151.53654,-147.64633,1619.1633,-148.45337,232.71559,1521.6115,-164.4103,23.969406,1586.0164,-283.97147,13.631851,1578.8678,-329.36813,-204.23187,1586.796,-261.37332,-493.42157,1473.1234,-44.84911,34.30696,1593.1649,-21.666323,-177.62157,1670.3263,11.493357,-397.5215,1583.7301,-151.55354,-147.65126,1619.1656,-221.17426,-326.40314,1647.3837,-208.4427,-667.9732,1685.9203,-208.90076,-982.6239,1787.8304,-56.219326,-312.14072,1657.2462,-23.261234,-643.93335,1572.7203,-50.670403,-949.8929,1695.311
1,11131,-149.47115,-148.74818,1617.6348,-145.75192,233.22293,1520.9437,-161.61697,24.120789,1584.7831,-280.79572,14.474274,1578.0576,-321.53705,-202.48402,1589.0398,-270.30103,-488.23303,1484.1426,-42.438248,33.767303,1591.5085,1.2290382,-176.52142,1670.7979,19.978794,-418.1203,1584.5079,-149.47928,-148.74388,1617.6407,-221.6305,-328.43103,1645.7418,-195.91022,-669.772,1680.1105,-203.44676,-983.1809,1785.6812,-53.052658,-314.78607,1655.255,-34.63228,-518.8666,1611.3927,-68.58374,-944.3331,1779.2065
1,11171,-138.28598,-150.18207,1612.5459,-124.78409,235.45795,1517.9529,-147.81297,25.971542,1580.8799,-266.04572,18.155228,1572.8134,-316.22507,-199.72646,1591.7909,-277.26456,-495.69373,1494.3182,-29.580246,33.787857,1588.9464,11.7052765,-173.13849,1673.9701,30.009586,-416.5205,1579.7777,-138.3297,-150.17645,1612.5658,-207.99863,-331.5572,1638.8516,-195.1739,-694.0694,1671.6969,-193.10458,-948.28375,1783.0406,-49.694214,-321.09174,1649.6519,-4.179695,-657.48486,1594.4777,-34.85576,-968.0768,1703.7687
